"id","name","muscle","created_at"
"3","Wyciskanie hantli na ławce skośnej","Klatka piersiowa","2024-07-13 20:08:48.93"
"4","Wyciskanie hantli na ławce płaskiej","Klatka piersiowa","2024-07-13 20:08:48.93"
"5","Rozpiętki z hantlami","Klatka piersiowa","2024-07-13 20:08:48.93"
"6","Rozpiętki na maszynie","Klatka piersiowa","2024-07-13 20:08:48.93"
"7","Prostowanie ramion na wyciągu","Triceps","2024-07-13 20:08:48.93"
"8","Pompki na poręczach (dips)","Triceps","2024-07-13 20:08:48.93"
"9","Prostowanie ramion zaa głowy (z liną)","Triceps","2024-07-13 20:08:48.93"
"10","Wyciskanie sztangielki zza głowy (oburącz)","Triceps","2024-07-13 20:08:48.93"
"11","Wiosłowanie sztangą","Plecy","2024-07-13 20:08:48.93"
"12","Podciąganie na drążku","Plecy","2024-07-13 20:08:48.93"
"13","Ściąganie drążka górnego do klatki","Plecy","2024-07-13 20:08:48.93"
"14","Wiosłowanie hantlem w opadzie","Plecy","2024-07-13 20:08:48.93"
"15","Ściąganie linki wyciągu dolnego w siadzie","Plecy","2024-07-13 20:08:48.93"
"16","Uginanie ramion z hantlami","Biceps","2024-07-13 20:08:48.93"
"17","Unoszenie ramion z hantlami w chwycie młotkowym (hammer)","Biceps","2024-07-13 20:08:48.93"
"18","Uginanie ramion z hantlami z rotacją","Biceps","2024-07-13 20:08:48.93"
"19","Uginanie ramion z linką wyciągu dolnego","Biceps","2024-07-13 20:08:48.93"
"20","Wykroki z hantlami","Nogi","2024-07-13 20:08:48.93"
"21","Prostowanie nóg na maszynie","Nogi","2024-07-13 20:08:48.93"
"22","Uginanie nóg na maszynie","Nogi","2024-07-13 20:08:48.93"
"23","Wypychanie nóg na maszynie","Nogi","2024-07-13 20:08:48.93"
"24","Wyciskanie hantli nad głowę siedząc","Barki","2024-07-13 20:08:48.93"
"25","Unoszenie hantli bokiem","Barki","2024-07-13 20:08:48.93"
"26","Arnoldki (Arnold Press)","Barki","2024-07-13 20:08:48.93"
"27","Wznosy ramion w bok na wyciągu","Barki","2024-07-13 20:08:48.93"
"28","Ściąganie drążka górnego do klatki (wąski chwyt)","Plecy","2024-07-15 19:44:17.739"
"29","Zginanie przedramion na zewnątrz siedząc na ławce 75 stopni","Biceps","2024-07-21 17:46:57.622"
"30","Szrugsy z hantlami","Plecy","2024-07-21 17:53:10.491"
"31","Podciąganie na drążku (maszyna)","Plecy","2024-07-21 18:07:09.86"
"32","Wyciskanie hantli leżąc","Triceps","2024-07-21 18:26:36.363"
"33","Prostowanie ramion na wyciągu (lżejszy wyciąg)","Barki","2024-07-21 18:39:36.458"
"34","Rozpiętki z hantlami na ławce skośnej","Klatka piersiowa","2024-07-30 19:46:11.918"
"35","Uginanie ramienia z linką zaa pleców","Biceps","2024-07-30 19:53:24.279"
"36","Odwodzenie do tyłu linka (tył barków)","Barki","2024-09-17 17:23:22.997"
"37","Wiosłowanie hantlami leżąc na ławce","Plecy","2024-09-17 17:33:15.071"
"38","Ściąganie linki od tyłu","Biceps","2024-09-17 17:53:05.101"
"39","Ściąganie z góry (maszyna z dokładanym obciążeniem)","Plecy","2024-09-17 18:01:41.221"
"40","Ściąganie w siadzie maszyna (pojedynczo na stronę)","Plecy","2024-09-17 18:23:51.454"
"41","Modlitewnik","Biceps","2024-10-06 20:11:16.768371"